label,field,metric,PIDL,FEM22_projected,PIDL_over_FEM
r1_alpha,psi_active,p99,0.03988079637289024,0.033885182105004706,1.1769391189725968
r1_alpha,psi_active,p999,0.12444802290946531,0.10800871253013611,1.1522035583448176
r1_alpha,psi_active,max,0.26150187849998474,0.2543211281299591,1.0282349737232852
r2_uv,psi_active,tip_2l0_mean,0.037319207784209156,0.05526433389245597,0.6752855803316492
r2_uv,psi_active,domain_mean,0.006312940193915989,0.004801877274287023,1.3146817032830824
r2_uv,psi_active,p99,0.04276679173111903,0.033885182105004706,1.262108953659793
r2_uv,psi_active,p999,1.2600087108612181,0.10800871253013611,11.665806223823436
r2_uv,psi_active,max,3.411724090576172,0.2543211281299591,13.415024208420338
r2_alpha,psi_active,tip_2l0_mean,0.036484783868218074,0.05526433389245597,0.6601868022008051
r2_alpha,psi_active,domain_mean,0.005616357011293393,0.004801877274287023,1.1696169415590287
r2_alpha,psi_active,p99,0.03232191428542125,0.033885182105004706,0.9538657394627793
r2_alpha,psi_active,p999,0.09607440619915814,0.10800871253013611,0.8895060773208632
r2_alpha,psi_active,max,0.2594282925128937,0.2543211281299591,1.0200815575980176
r3_uv,psi_active,tip_2l0_mean,0.05757906448372776,0.05526433389245597,1.0418847098704969
r3_uv,psi_active,domain_mean,0.004948499271211299,0.004801877274287023,1.0305343074279312
r3_uv,psi_active,p99,0.03546125978231419,0.033885182105004706,1.0465122976888679
r3_uv,psi_active,p999,0.23056839948893082,0.10800871253013611,2.1347203766047915
r3_uv,psi_active,max,0.9815862774848938,0.2543211281299591,3.859633231035761
r3_alpha,psi_active,tip_2l0_mean,0.05404196717383363,0.05526433389245597,0.9778814538685827
r3_alpha,psi_active,domain_mean,0.004850560770552302,0.004801877274287023,1.0101384299273886
r3_alpha,psi_active,p99,0.032850833795964714,0.033885182105004706,0.9694749077683952
r3_alpha,psi_active,p999,0.12338621886819927,0.10800871253013611,1.1423728325043463
r3_alpha,psi_active,max,0.3176754117012024,0.2543211281299591,1.2491113657645816
