saved_index,fem_cycle,field,metric,FEM_nstep2_projected,PIDL_resstiff,PIDL_over_FEM
68,69,delta_alpha_bar,domain_mean,0.001195043674875665,0.0016847564838826656,1.4097865369296663
68,69,delta_alpha_bar,tip_2l0_mean,0.028948476696991323,0.0005407887510955334,0.018681077997853294
68,69,delta_alpha_bar,tip_2l0_integral,3.659087682217771e-05,6.835570047769579e-07,0.01868107747455383
68,69,delta_alpha_bar,right_band_mean,0.010090511349588813,0.00822052825242281,0.8146790551658014
68,69,psi_raw,max,2216.02978515625,2660.416259765625,1.2005327173786349
68,69,psi_raw,p999,2171.030036865241,2584.898681640625,1.190632390039601
68,69,psi_raw,p99,500.73057983398337,0.44702231884002686,0.0008927402017033523
68,69,psi_raw,domain_mean,2.5315790875767505,3.554141044616699,1.4039225802022064
68,69,psi_raw,tip_2l0_mean,93.69374156176028,143.02362060546875,1.5265013246502874
68,69,psi_raw,tip_2l0_integral,0.11842889670431733,0.18078187108039856,1.5265013532276548
68,69,psi_raw,right_band_mean,0.043624748649762644,0.008197270333766937,0.1879041275304067
68,69,g_alpha,max,1.0000820059315563,1.0035405158996582,1.0034582263730267
68,69,g_alpha,p999,1.000057839294019,1.0034230947494507,1.0033650608226894
68,69,g_alpha,p99,1.000056432597559,1.0032243728637695,1.0031677615012007
68,69,g_alpha,domain_mean,0.9796414867973734,0.9842889308929443,1.004744025399296
68,69,g_alpha,tip_2l0_mean,0.40576307249798227,0.3911082148551941,0.9638832150186337
68,69,g_alpha,tip_2l0_integral,0.0005128845555560835,0.000494360807351768,0.963883201387822
68,69,g_alpha,right_band_mean,0.9941050613275884,1.002828598022461,1.0087752663518508
68,69,psi_active,max,0.3319188272720554,0.3516468405723572,1.0594362587456716
68,69,psi_active,p999,0.1465283987958004,0.09961391240358353,0.6798266631057905
68,69,psi_active,p99,0.04365398870732709,0.03326629102230072,0.7620447067352897
68,69,psi_active,domain_mean,0.0009419260876235448,0.0016847564838826656,1.7886291780422632
68,69,psi_active,tip_2l0_mean,0.012902411666071674,0.0005407887510955334,0.04191377279625928
68,69,psi_active,tip_2l0_integral,1.6308649360859972e-05,6.835570047769579e-07,0.04191377162215923
68,69,psi_active,right_band_mean,0.01009850968688296,0.00822052825242281,0.8140338037305171
