case_id,cycle,load_factor,threshold,support_area,centroid_x,centroid_y,rms_width_x,rms_width_y,crack_tip_x,damaged_component_size,right_boundary_connected_size,event_hit_reconstructed
P0_parent,55,1.0,0.005807638431446015,0.0016595222583974897,0.33131851908564763,-7.92035182058706e-05,0.007554860969215458,0.007734814842703716,0.3279093301244763,841,0,False
P0_parent,56,1.0,0.006353339885965806,0.0018633984126548062,0.3407723730905087,-0.0002653812690718412,0.008063615750103257,0.007845359152424522,0.339162428217284,853,0,False
P0_parent,57,1.0,0.0038212841969168087,0.00170466882451934,0.3486337608861304,-0.0002673669716801228,0.007627182378979782,0.00793103159956045,0.3451308094051035,859,0,False
P0_parent,58,1.0,0.00688486044298168,0.001760257370958063,0.357402458544824,-0.00021053558567628812,0.007923729823307829,0.007873160501618265,0.3549861552815459,869,0,False
P0_parent,59,1.0,0.0025811472361074762,0.0018894169079407448,0.36427231413885597,-0.0008849250188983765,0.008645245457457814,0.01348449395939472,0.358905873033934,873,0,False
P0_parent,60,1.0,0.0032722855516981696,0.0016994948129138068,0.3691283478507889,-0.0003535693886654951,0.007500088602357097,0.00815890510697473,0.3648172682878966,879,0,False
P0_parent,61,1.0,0.005917444557538585,0.0017267335154980974,0.37680950620683107,-0.00024124102665792714,0.007655113221592554,0.0078681852100568,0.3746584405310329,889,0,False
P0_parent,62,1.0,0.0009451587910123394,0.0021875823929879213,0.3803284362138362,-0.0009130285316717296,0.011260873047650296,0.029285656105063264,0.3746584405310329,889,0,False
P0_parent,63,1.0,0.00821914899530728,0.0018452528409323174,0.3906074353194768,-0.0008768674531059768,0.008350177666787303,0.007813649727584018,0.3906827149844322,905,0,False
P0_parent,64,1.0,0.0013520003664944903,0.001924409735773797,0.3974806365933961,-0.0008207768803088236,0.021930993236720545,0.020043634914700705,0.3926843533570615,907,0,False
P0_parent,65,1.0,0.007473065680679356,0.0019892968859991384,0.40628926872834104,-0.0008107786284959772,0.00867011010766551,0.008098422681388762,0.4046849375073675,920,0,False
P0_parent,66,1.0,0.006914433169623044,0.0017832924559461408,0.4189392684441615,-0.0007135048617885815,0.008006907211149378,0.007856895477617297,0.4166037257536535,933,0,False
P0_parent,67,1.0,0.00692330235292607,0.0018348133256033932,0.43034253463232097,-0.0006145870952420777,0.008262157645279388,0.007867560732989661,0.4299719687609822,946,0,False
P0_parent,68,1.0,0.007222735937718213,0.00190660764686734,0.442018748312397,-0.0007985897876594182,0.008465377511672945,0.00798975867098359,0.4420385140197631,959,0,False
P0_parent,69,1.0,0.00893996674343789,0.0021708926057494348,0.4576291783557603,-8.50913805657093e-05,0.00943969445826271,0.007919180478038726,0.4600339551073571,978,0,False
P0_parent,70,1.0,0.009984784682745863,0.0024772673909894674,0.4820163866773748,-4.810371195643493e-05,0.011392071878670158,0.007901950063368962,0.5,1021,22,True
P0_parent,71,1.0,1.8160486344176442e-07,0.0034796945013457975,0.018825462590013005,-0.003000542257025492,0.44993036544639703,0.007508166182752495,0.5,1021,22,True
P0_parent,72,1.0,6.452511441396719e-08,0.0035761283034992765,-0.33183103012281023,-0.006692143692763372,0.21577218163889383,0.006620843422994599,0.5,1021,22,True
P0_parent,73,1.0,1e-08,0.007578661444955893,-0.30422896429389196,-0.005190100854843708,0.261512774733524,0.0057255386268862275,0.5,1021,22,True
T3_loading_history,1,1.0,0.00999606488141861,0.01951930205981883,-0.2497290175400312,-0.00022937072375168525,0.14511482248847507,0.006770424005298707,0.0,504,0,False
T3_loading_history,2,1.0,0.00019398043142435095,0.010359941012614091,-0.18763835326136957,0.000515114646956726,0.11807599082015104,0.012592792596330843,0.0,504,0,False
T3_loading_history,3,1.0,2.3707491454146857e-05,0.001094615665160476,-0.04019809269603062,0.0036533483690762013,0.08879810406487919,0.00861992496060809,0.0,504,0,False
T3_loading_history,4,1.0,8.892867443191784e-05,0.0036330527876223383,-0.26757226905218245,0.004177120005915247,0.07770315064918185,0.012447208350065039,0.0,504,0,False
T3_loading_history,5,1.0,0.0003868274699383556,0.0008135483090484606,-0.04880182817215963,0.002001871228932366,0.08872063362551075,0.00803628665302576,0.0,504,0,False
T3_loading_history,6,1.0,0.0007014238928504524,0.00036463139399689644,0.001927195494537471,0.002047910893637219,0.003877969397515044,0.003880359890286443,0.0,505,0,False
T3_loading_history,7,1.0,0.000474602497036607,0.0009846990209538733,0.0014232720534790113,0.0019049837064303214,0.005838871442249257,0.007328028100055271,0.0,505,0,False
T3_loading_history,8,1.0,0.001310039233700892,0.0009213302019336189,0.0049593027511512025,0.001988774368383101,0.005800492816609736,0.005742029358197918,0.0,506,0,False
T3_loading_history,9,1.0,0.004167319929492659,0.001279456584573766,0.007434182078020575,0.00046629586521186817,0.006959150148828216,0.006513655920535077,0.006602130434464182,514,0,False
T3_loading_history,10,1.0,0.0021807972163273015,0.0011354949930722853,0.011084261660241545,0.00027984195909319865,0.007257392423125398,0.00625724163787679,0.008621646590442272,517,0,False
T3_loading_history,11,1.0,0.00205777640182256,0.0011117287407017913,0.01331971420703698,-0.0008399505015414943,0.006031470772790495,0.006413700102667235,0.01073028759122254,518,0,False
T3_loading_history,12,1.0,0.0019545495882859042,0.001267644946301322,0.014485399544705735,0.0004008757820883102,0.007329918927267709,0.006576345686869098,0.01073028759122254,518,0,False
T3_loading_history,13,1.0,0.0027595842108609427,0.0011226425657498878,0.01775191947358868,0.0011216787467149924,0.0060105053077477615,0.006857419814193508,0.01507880727177489,521,0,False
T3_loading_history,14,1.0,0.00274044002592535,0.0013137258903907734,0.02014181861840102,-4.746851387048666e-05,0.00684316516433627,0.007075984248467913,0.0171271169966146,525,0,False
T3_loading_history,15,1.0,0.0026148190722369634,0.0011301275460306238,0.02353808847300837,-4.879783365561495e-06,0.005890508250230095,0.006944332868558833,0.01911670343450046,527,0,False
T3_loading_history,16,1.0,0.0029143347610607467,0.0010312717556771993,0.026853588450696454,-0.000155679940187482,0.005601298535495655,0.006528310218273685,0.02304844825262887,531,0,False
T3_loading_history,17,1.0,0.0012455741330718495,0.0027805680580650894,0.0032737965797417124,-0.0017227214929880043,0.0801853547709862,0.008308060792789649,0.02304844825262887,531,0,False
T3_loading_history,18,1.0,0.0033075296328011973,0.0013462782701123856,0.030758258216435363,-0.000362043121480949,0.006750435747404987,0.0070868434600030285,0.02697956206701656,535,0,False
