reference,cycle,fem_cycle,pidl_saved_index,field,metric,FEM_projected_to_PIDL,PIDL_native,PIDL_over_FEM_projected,FEM_projected_over_PIDL,fem_E_d_abs,pidl_E_d_abs,abs_E_d_PIDL_over_FEM
"FEM n_step2 [1,0]",3,3,2,alpha_bar,p999,0.3374171853065491,0.34124135971069336,1.0113336681433993,0.9887933443724803,,,
"FEM n_step2 [1,0]",3,3,2,alpha_bar,right_band_mean,0.02568120888266735,0.025750286877155304,1.0026898264331543,0.9973173893239521,,,
"FEM n_step2 [1,0]",3,3,2,alpha_bar,tip_2l0_integral,0.00010639389471530243,0.00021044047025498003,1.9779374635931322,0.5055771572188104,,,
"FEM n_step2 [1,0]",3,3,2,alpha_bar,tip_2l0_mean,0.17050302639569553,0.1664877086877823,0.9764501675260903,1.0241178026868232,,,
"FEM n_step2 [1,0]",3,3,2,alpha_bar,tip_4l0_integral,0.00023469441836817016,0.00046986492816358805,2.002028558798109,0.4994933741606248,,,
"FEM n_step2 [1,0]",3,3,2,alpha_bar,tip_4l0_mean,0.09372780381424135,0.09337537735700607,0.9962398942160882,1.0037742975419295,,,
"FEM n_step2 [1,0]",3,3,2,alpha_bar,tip_l0_integral,4.60708214017608e-05,8.720593177713454e-05,1.892866875905138,0.5282991702846596,,,
"FEM n_step2 [1,0]",3,3,2,alpha_bar,tip_l0_mean,0.2742310581958513,0.2691541016101837,0.981486573333201,1.0188626387459647,,,
"FEM n_step2 [1,0]",3,3,2,alpha_bar,top1_mean,0.18965710348553128,0.1922696828842163,1.013775278387526,0.9864119014527198,,,
"FEM n_step2 [1,0]",3,3,2,psi_raw,crack_strip_mean,22.26783725714385,46.32623291015625,2.0804100719432963,0.4806744658113999,,,
"FEM n_step2 [1,0]",3,3,2,psi_raw,domain_mean,0.8952262156304751,1.857556700706482,2.0749578913953863,0.4819374909471108,,,
"FEM n_step2 [1,0]",3,3,2,psi_raw,max,663.0670776367188,2799.12255859375,4.22147721248699,0.23688390335071172,,,
"FEM n_step2 [1,0]",3,3,2,psi_raw,p99,158.39109268189554,0.056424837559461594,0.00035623744115953737,2807.1165028163337,,,
"FEM n_step2 [1,0]",3,3,2,psi_raw,p999,638.0804443359375,2549.65625,3.9958225841782,0.250261361442719,,,
