cycle,path,n_elem,alpha_max,hist_max,hist_mean,f_min,psi_max,E_el,E_d,E_hist,precrack_half_width,precrack_x_max,n_elem_precrack_mask,n_elem_outside_precrack,hist_max_outside_precrack,hist_mean_outside_precrack,f_min_outside_precrack,f_mean_outside_precrack,psi_max_outside_precrack,psi_mean_outside_precrack,E_el_outside_precrack,E_d_outside_precrack,E_hist_outside_precrack
44,,90000,1.000145435333252,6.9619364738464355,0.2191578596830368,0.017959611490368843,0.4073765277862549,0.0032082232646644115,0.005971410311758518,7.242394184370227e-11,0.02,0.0,10000,80000,3.2422287464141846,0.24328342080116272,0.0714067593216896,0.9609108567237854,0.4073765277862549,0.004377631936222315,0.0031998450867831707,0.0006055441335774958,2.2915820283020416e-11
45,,90000,1.0001376867294312,7.10078239440918,0.22304175794124603,0.017309457063674927,0.38736581802368164,0.003156656865030527,0.0059953718446195126,7.590374162536051e-11,0.02,0.0,10000,80000,3.2521157264709473,0.2476053237915039,0.07103093713521957,0.9590370059013367,0.38736581802368164,0.004321918822824955,0.003148321993649006,0.0006293097394518554,2.4949518145911398e-11
46,,90000,1.0001362562179565,7.2420783042907715,0.22686736285686493,0.016683410853147507,0.3887571096420288,0.003097296692430973,0.006025534123182297,1.0599258970511727e-10,0.02,0.0,10000,80000,3.2624239921569824,0.251863032579422,0.07064225524663925,0.9571024179458618,0.3887571096420288,0.004257718566805124,0.003089209785684943,0.0006590880802832544,3.299498868569728e-11
47,,90000,1.000569462776184,7.3787126541137695,0.230641171336174,0.016109775751829147,0.39557385444641113,0.003043653443455696,0.006052013020962477,8.933237483077505e-11,0.02,0.0,10000,80000,3.2728848457336426,0.25606489181518555,0.07025105506181717,0.9550763964653015,0.39557385444641113,0.004201854579150677,0.003035954898223281,0.0006846970063634217,2.959928135926049e-11
48,,90000,1.0005884170532227,7.519813537597656,0.2343589812517166,0.015547890216112137,0.3892066776752472,0.0029875771142542362,0.006079949904233217,8.560485653674732e-11,0.02,0.0,10000,80000,3.282790422439575,0.2602055072784424,0.06988362967967987,0.9529953002929688,0.3892066776752472,0.004140602890402079,0.002980196150019765,0.0007120571681298316,2.3026643092283194e-11
49,,90000,1.0005983114242554,7.656925678253174,0.2380136102437973,0.015029585920274258,0.37994346022605896,0.002924538915976882,0.006113572046160698,7.56836884829859e-11,0.02,0.0,10000,80000,3.2932934761047363,0.26427626609802246,0.06949716061353683,0.9508518576622009,0.37994346022605896,0.004070719704031944,0.0029173661023378372,0.000745353871025145,1.7665490598117728e-11
50,,90000,1.0006085634231567,7.79353141784668,0.2416122555732727,0.014538547024130821,0.3814089298248291,0.0028665312565863132,0.00614288030192256,7.803933194105994e-11,0.02,0.0,10000,80000,3.304293632507324,0.26828399300575256,0.06909584999084473,0.9486232399940491,0.3814089298248291,0.004007752053439617,0.0028593847528100014,0.000774596759583801,2.4841878554227037e-11
51,,90000,1.0006273984909058,7.924234867095947,0.24515807628631592,0.014090911485254765,0.3957892060279846,0.002812130842357874,0.006169624626636505,6.959613441104295e-11,0.02,0.0,10000,80000,3.3156208992004395,0.27223342657089233,0.06868621706962585,0.9463022351264954,0.3957892060279846,0.003949432633817196,0.002805168740451336,0.0008008916047401726,2.1827558857601126e-11
52,,90000,1.0006484985351562,8.054259300231934,0.2486506551504135,0.013665804639458656,0.38628220558166504,0.002757722046226263,0.006195901893079281,7.741096652580381e-11,0.02,0.0,10000,80000,3.327782154083252,0.27612361311912537,0.06825045496225357,0.9438923001289368,0.38628220558166504,0.003890181425958872,0.002750900574028492,0.0008268445380963385,3.032284839887822e-11
53,,90000,1.0006645917892456,8.175773620605469,0.25208741426467896,0.013285674154758453,0.3683924674987793,0.0027005646843463182,0.006224495358765125,8.476991331107797e-11,0.02,0.0,10000,80000,3.340601921081543,0.2799515128135681,0.06779558956623077,0.9413725733757019,0.3683924674987793,0.0038279362488538027,0.0026938500814139843,0.0008552265353500843,2.197994911079526e-11
54,,90000,1.0006786584854126,8.299161911010742,0.25546538829803467,0.01291568297892809,0.3962928354740143,0.002638236153870821,0.006257145665585995,9.408662043908222e-11,0.02,0.0,10000,80000,3.352365732192993,0.2837134003639221,0.06738217175006866,0.9387342929840088,0.3962928354740143,0.0037618561182171106,0.0026315548457205296,0.0008877724758349359,3.3558603812489096e-11
55,,90000,1.0006825923919678,8.420358657836914,0.2587805688381195,0.012567109428346157,0.36718130111694336,0.002571434248238802,0.0062943450175225735,8.815012608742734e-11,0.02,0.0,10000,80000,3.36391282081604,0.2874051630496979,0.0669800341129303,0.9359464645385742,0.36718130111694336,0.0036917682737112045,0.0025648523587733507,0.0009246704285033047,3.4376283070125524e-11
56,,90000,1.0006828308105469,8.543248176574707,0.26203563809394836,0.012227877974510193,0.3783755898475647,0.0025098775513470173,0.0063277557492256165,9.738210238197098e-11,0.02,0.0,10000,80000,3.3752570152282715,0.2910294830799103,0.06658846139907837,0.9330599904060364,0.3783755898475647,0.003624347038567066,0.002503315219655633,0.0009578356402926147,3.6744961240398055e-11
57,,90000,1.0006814002990723,8.665718078613281,0.2652303874492645,0.011903289705514908,0.39790257811546326,0.0024443587753921747,0.006364237517118454,8.330552220270349e-11,0.02,0.0,10000,80000,3.388005256652832,0.294586718082428,0.06615249812602997,0.9301282167434692,0.39790257811546326,0.003557196818292141,0.0024379321839660406,0.000994055182673037,2.852482486326302e-11
58,,90000,1.0006812810897827,8.785326957702637,0.26836958527565,0.011598601005971432,0.39429011940956116,0.002388953696936369,0.006392491050064564,7.677447566578621e-11,0.02,0.0,10000,80000,3.4004664421081543,0.2980819642543793,0.0657305046916008,0.9271475672721863,0.39429011940956116,0.0034952277783304453,0.002382626524195075,0.0010220629628747702,2.7899968793598795e-11
59,,90000,1.0006850957870483,8.903865814208984,0.27144941687583923,0.011308034881949425,0.36950045824050903,0.0023254468105733395,0.0064269970171153545,8.687527086603808e-11,0.02,0.0,10000,80000,3.4132890701293945,0.30151137709617615,0.06530044227838516,0.9241225719451904,0.36950045824050903,0.00342944567091763,0.0023193093948066235,0.0010562250390648842,3.459106959202707e-11
60,,90000,1.0006828308105469,9.020934104919434,0.27447494864463806,0.011031661182641983,0.3656630218029022,0.00226829806342721,0.006456970237195492,7.619663927593834e-11,0.02,0.0,10000,80000,3.4247379302978516,0.3048804700374603,0.06492003053426743,0.9210802912712097,0.3656630218029022,0.003369068494066596,0.0022622679825872183,0.001085535273887217,3.173598883687845e-11
61,,90000,1.0006827116012573,9.125187873840332,0.2774417996406555,0.010793979279696941,0.3628796339035034,0.002206987701356411,0.0064894468523561954,7.300941795573834e-11,0.02,0.0,10000,80000,3.4366583824157715,0.30818435549736023,0.06452745199203491,0.9180414080619812,0.3628796339035034,0.00330391270108521,0.002201115945354104,0.001117652514949441,2.4987014193844637e-11
62,,90000,1.0006842613220215,9.22805404663086,0.2803399860858917,0.010566910728812218,0.37405118346214294,0.0021347608417272568,0.006531297694891691,8.676054319423088e-11,0.02,0.0,10000,80000,3.4482803344726562,0.31141191720962524,0.06414813548326492,0.9149867296218872,0.37405118346214294,0.003227558918297291,0.0021290418226271868,0.001159170176833868,3.66253485872825e-11
63,,90000,1.0006850957870483,9.333227157592773,0.2831726670265198,0.01034207921475172,0.38113775849342346,0.0020651258528232574,0.006572064943611622,9.734354988744087e-11,0.02,0.0,10000,80000,3.4582958221435547,0.31456637382507324,0.06382391601800919,0.911936342716217,0.38113775849342346,0.003154470818117261,0.0020595190580934286,0.0011996369576081634,3.502890338902276e-11
64,,90000,1.000695824623108,9.433303833007812,0.28593870997428894,0.010134738869965076,0.4029301404953003,0.0019954112358391285,0.006612869910895824,7.46820730257447e-11,0.02,0.0,10000,80000,3.469024658203125,0.3176465332508087,0.06347934156656265,0.9089050889015198,0.4029301404953003,0.0030801575630903244,0.0019899392500519753,0.001240311423316598,3.9081904379401067e-11
65,,90000,1.0006961822509766,9.535595893859863,0.2886428236961365,0.00992918573319912,0.4020799696445465,0.001929171266965568,0.006651259958744049,8.29043639294369e-11,0.02,0.0,10000,80000,3.4690825939178467,0.3206579089164734,0.06347749382257462,0.9059038162231445,0.4020799696445465,0.0030113474931567907,0.0019238449167460203,0.0012781668920069933,4.46868271553047e-11
66,,90000,1.0006805658340454,9.63863754272461,0.29128870368003845,0.009728386066854,0.39243921637535095,0.0018655473832041025,0.006687420420348644,9.525870370286071e-11,0.02,0.0,10000,80000,3.4691433906555176,0.32360410690307617,0.06347554177045822,0.9029523730278015,0.39243921637535095,0.0029461870435625315,0.0018602765630930662,0.0013138428330421448,4.2443170505945815e-11
67,,90000,1.0006687641143799,9.74069881439209,0.2938740849494934,0.009535442106425762,0.4111933410167694,0.0017995088128373027,0.006724789272993803,9.693718050485245e-11,0.02,0.0,10000,80000,3.4692037105560303,0.3264823853969574,0.06347361952066422,0.9000383019447327,0.4111933410167694,0.0028782738372683525,0.0017942613922059536,0.0013509438140317798,4.1396396727177986e-11
68,,90000,1.0006462335586548,9.840360641479492,0.2963981032371521,0.009352519176900387,0.3768942058086395,0.0017327710520476103,0.006762950215488672,1.0796433191906374e-10,0.02,0.0,10000,80000,3.469266653060913,0.32929176092147827,0.06347160786390305,0.8971637487411499,0.3768942058086395,0.002809390425682068,0.0017275549471378326,0.001388876116834581,5.313750828239705e-11
69,,90000,1.000632405281067,9.938153266906738,0.29886043071746826,0.009178097359836102,0.3890300393104553,0.0016664005815982819,0.006800810806453228,9.35877209062852e-11,0.02,0.0,10000,80000,3.469325304031372,0.33203214406967163,0.06346973031759262,0.8943454027175903,0.3890300393104553,0.002740408293902874,0.001661268062889576,0.0014263384509831667,4.834613265281007e-11
