cycle,fem_E_el,fem_E_d,fem_total_energy,pidl_E_el,pidl_E_d,pidl_E_hist,pidl_E_el_outside_precrack,pidl_E_d_outside_precrack,pidl_total_energy,delta_fem_E_el_from_c1,delta_fem_E_d_from_c1,delta_fem_total_energy_from_c1,delta_pidl_E_el_from_c1,delta_pidl_E_d_from_c1,delta_pidl_E_hist_from_c1,delta_pidl_total_energy_from_c1,delta_pidl_E_el_outside_precrack_from_c1,delta_pidl_E_d_outside_precrack_from_c1,ratio_abs_E_d_pidl_over_fem,ratio_delta_E_d_pidl_over_fem,ratio_delta_E_d_outside_precrack_pidl_over_fem
14,0.00452061,0.00612656,0.0106472,0.0045119035057723,0.0054488768801093,6.310407058007783e-11,0.004499826580286,8.474405331071466e-05,0.00996078044898567,-0.0003152599999999995,0.0004272,0.00011200000000000099,-0.0002764607779681995,1.6036443412299588e-05,-8.91878931819079e-12,-0.00026042434347468835,-0.00026625348255039996,1.5526602510362864e-05,0.8893860306777865,0.03753849113366008,0.03634504332950109
15,0.00447975,0.00618072,0.0106605,0.004478751681745,0.0054582590237259,6.637058957981168e-11,0.0044666016474366,9.457152191316708e-05,0.00993701077184149,-0.0003561199999999997,0.0004813600000000001,0.00012530000000000006,-0.00030961260199549936,2.541858702889959e-05,-5.652270318456942e-12,-0.0002841940206188692,-0.0002994784153998002,2.5354071112815277e-05,0.8831105475941152,0.052805773285897424,0.05267174487455391
16,0.00443882,0.00623569,0.0106745,0.0044434615410864,0.0054692854173481,6.514356415410205e-11,0.0044313268736004,0.0001059112692018,0.009912747023578063,-0.00039705000000000035,0.0005363300000000007,0.0001393000000000002,-0.0003449027426540999,3.644498065109945e-05,-6.879295744166569e-12,-0.0003084577688822962,-0.00033475318923600027,3.6693818401448196e-05,0.8770938608795658,0.06795253044039938,0.06841649432522542
17,0.00439922,0.00628961,0.0106888,0.004407794214785,0.0054807560518383,7.622473485735526e-11,0.0043955650180578,0.0001178024249384,0.009888550342848034,-0.00043665000000000023,0.0005902500000000005,0.00015360000000000026,-0.0003805700689554995,4.7915615141299814e-05,4.201874959086638e-12,-0.00033265444961232474,-0.0003705150447786002,4.85849741380482e-05,0.8713983938333696,0.08117850934570059,0.08231253560025101
18,0.00435508,0.00635003,0.0107051,0.0043725417926907,0.0054920692928135,6.87304518853793e-11,0.004360276274383,0.000129328618641,0.009864611154234652,-0.00048079000000000004,0.0006506700000000008,0.0001699000000000006,-0.0004158224910497995,5.922885611649945e-05,-3.292408012889325e-12,-0.0003565936382257072,-0.0004058037884533995,6.011116784064821e-05,0.8648887159294522,0.09102748876773077,0.09238349369211449
19,0.00431567,0.00640481,0.0107205,0.0043363398872315,0.0055041587911546,7.713360505867684e-11,0.0043241777457296,0.0001414404250681,0.009840498755519705,-0.0005202000000000002,0.0007054500000000007,0.0001853000000000011,-0.00045202439650899977,7.131835445759946e-05,5.110745160408214e-12,-0.0003807060369406534,-0.0004419023171068001,7.22229742677482e-05,0.8593789341377183,0.10109625693897425,0.10237858709724024
20,0.00427078,0.00646733,0.0107381,0.0042992457747459,0.0055169370025396,6.631729887462967e-11,0.0042869900353252,0.0001542812678962,0.009816182843602798,-0.0005650899999999999,0.0007679700000000006,0.00020290000000000065,-0.0004891185089945993,8.409656584259986e-05,-5.70556102363895e-12,-0.00040502194885756043,-0.00047909002751119964,8.50638170958482e-05,0.8530470847381532,0.1095050143138401,0.1107645052487052
21,0.00422747,0.00652876,0.0107562,0.0042597064748406,0.0055315005593001,8.316124178175953e-11,0.004247517324984,0.0001688880292931,0.009791207117301942,-0.0006084000000000003,0.0008294000000000001,0.0002210000000000007,-0.0005286578088998994,9.866012260309996e-05,1.1138381883490909e-11,-0.0004299976751584167,-0.0005185627378524,9.96705784927482e-05,0.8472513247998242,0.1189536081542078,0.12017190558566215
22,0.00418404,0.00659094,0.010775,0.0042216815054416,0.0055448426865041,7.300815507704783e-11,0.0042095435783267,0.0001822836202336,0.009766524264953854,-0.0006518299999999999,0.0008915800000000003,0.00023980000000000008,-0.0005666827782988999,0.00011200224980709942,9.852951787792108e-13,-0.00045468052750650446,-0.0005565364845096996,0.00011306616943324821,0.8412825312480616,0.12562220979283897,0.12681550666597297
23,0.00414259,0.00665167,0.0107943,0.0041833249852061,0.0055585857480764,7.027191328834448e-11,0.0041713383980095,0.0001958954235306,0.009741910803554413,-0.0006932800000000001,0.0009523100000000005,0.00025909999999999996,-0.0006050392985343994,0.00012574531137939972,-1.7509466099241422e-12,-0.0004792939889059454,-0.0005947416648269003,0.0001266779727302482,0.8356676966951757,0.1320424141082207,0.1330217814894815
