mapping,pidl_saved_index,field,metric,FEM_projected_to_PIDL,PIDL_native,PIDL_over_FEM_projected,PIDL_minus_FEM
FEM_c1_mixed_to_PIDL_saved_j0,0,fatigue_f,p999,1.0,1.0,1.0,0.0
FEM_c1_mixed_to_PIDL_saved_j0,0,fatigue_f,right_band_mean,0.9999999239844396,0.9999999984902388,1.0000000745058049,7.450579919687783e-08
FEM_c1_mixed_to_PIDL_saved_j0,0,fatigue_f,tip_2l0_integral,0.0006239999984245514,0.0012639999968087068,2.0256410256410255,0.0006399999983841553
FEM_c1_mixed_to_PIDL_saved_j0,0,fatigue_f,tip_2l0_mean,0.999999938784014,0.9999999352416787,0.9999999964576645,-3.542335313966305e-09
FEM_c1_mixed_to_PIDL_saved_j0,0,fatigue_f,tip_4l0_integral,0.0025039999936780077,0.005031999987295421,2.009584664536741,0.0025279999936174136
FEM_c1_mixed_to_PIDL_saved_j0,0,fatigue_f,tip_4l0_mean,1.0000000076275515,0.9999999712619925,0.9999999636344412,-3.6365559008544324e-08
FEM_c1_mixed_to_PIDL_saved_j0,0,fatigue_f,tip_l0_integral,0.00016799999957584077,0.00032399999918197864,1.9285714285714286,0.00015599999960613786
FEM_c1_mixed_to_PIDL_saved_j0,0,fatigue_f,tip_l0_mean,0.9999999187951223,0.9999999284194034,1.000000009624282,9.624281149811509e-09
FEM_c1_mixed_to_PIDL_saved_j0,0,fatigue_f,top1_mean,1.0,1.0,1.0,0.0
FEM_c1_mixed_to_PIDL_saved_j0,0,psi_plus_active,crack_strip_mean,0.007401652461324736,0.0070114475674927235,0.947281381303578,-0.00039020489383201264
FEM_c1_mixed_to_PIDL_saved_j0,0,psi_plus_active,domain_mean,0.0050289291215434495,0.004790312144905329,0.9525511354662152,-0.00023861697663812072
FEM_c1_mixed_to_PIDL_saved_j0,0,psi_plus_active,max,0.24880101566345167,0.43511962890625,1.7488659672307283,0.18631861324279833
FEM_c1_mixed_to_PIDL_saved_j0,0,psi_plus_active,p99,0.03345344873086253,0.03523349016904831,1.0532095047212158,0.0017800414381857824
FEM_c1_mixed_to_PIDL_saved_j0,0,psi_plus_active,p999,0.10799535072018826,0.11320216953754425,1.0482133608774202,0.00520681881735599
FEM_c1_mixed_to_PIDL_saved_j0,0,psi_plus_active,right_band_mean,0.00856173698076315,0.008584532886743546,1.002662532851875,2.2795905980395673e-05
FEM_c1_mixed_to_PIDL_saved_j0,0,psi_plus_active,tip_2l0_integral,3.422669382320785e-05,7.023503712844104e-05,2.052054384546405,3.6008343305233184e-05
FEM_c1_mixed_to_PIDL_saved_j0,0,psi_plus_active,tip_2l0_mean,0.05485046765128387,0.055565688759088516,1.0130394714654345,0.0007152211078046491
FEM_c1_mixed_to_PIDL_saved_j0,0,psi_plus_active,tip_4l0_integral,7.601338357763526e-05,0.00015681747754570097,2.063024564424731,8.08040939680657e-05
