mode,mode_label,saved_index,fem_cycle,field,metric,FEM_nstep2_projected,PIDL,PIDL_over_FEM
current_active,current active,2,3,psi_active,tip_2l0_integral,7.038755111389623e-05,7.010132685536519e-05,0.9959335954440595
current_active,current active,2,3,psi_active,right_band_mean,0.008559868413014354,0.008582688868045807,1.0026659819906527
current_active,current active,2,3,history_driver,max,0.24471110105514526,0.41149312257766724,1.681546610690693
current_active,current active,2,3,history_driver,p999,0.11167380213737488,0.11390721052885056,1.0199993942064252
current_active,current active,2,3,history_driver,p99,0.03606931470334493,0.03512181341648102,0.9737310981742594
current_active,current active,2,3,history_driver,domain_mean,0.004844292909157893,0.0047839428298175335,0.9875420251268723
current_active,current active,2,3,history_driver,tip_2l0_mean,0.0567145000160518,0.05545990541577339,0.977878768217593
current_active,current active,2,3,history_driver,tip_2l0_integral,7.168713248163523e-05,7.010132685536519e-05,0.9778787967746332
current_active,current active,2,3,history_driver,right_band_mean,0.008559855714840628,0.008582688868045807,1.0026674694020359
current_active,current active,19,20,alpha_bar,max,2.3945114612579346,3.013373851776123,1.2584503772611197
current_active,current active,19,20,alpha_bar,p999,1.1583194253444706,1.33352530002594,1.151258686376053
current_active,current active,19,20,alpha_bar,p99,0.677829414010042,0.670995831489563,0.9899184331939042
current_active,current active,19,20,alpha_bar,domain_mean,0.09255868067561585,0.09235977381467819,0.9978510188403101
