cycle,fem_cycle,pidl_saved_index,pidl_cycle_offset,field,metric,FEM_projected_to_PIDL,PIDL_native,PIDL_over_FEM_projected,FEM_projected_over_PIDL
20,20,19,-1,damage_alpha,tip_2l0_mean,0.4367177978458349,0.44919252395629883,1.0285647302949343,0.972228553581899
20,20,19,-1,damage_alpha,tip_4l0_integral,0.0004935060404318754,0.0011893559712916613,2.4100129964991632,0.41493552169744374
20,20,19,-1,damage_alpha,tip_4l0_mean,0.2282613354126368,0.2369231879711151,1.0379470861450097,0.9634402498436145
20,20,19,-1,damage_alpha,tip_l0_integral,9.534289515013202e-05,0.00021884511807002127,2.295347940980983,0.4356637972596962
20,20,19,-1,damage_alpha,tip_l0_mean,0.7122449103727555,0.6982307434082031,0.9803239493038736,1.0200709680816207
20,20,19,-1,damage_alpha,top1_mean,1.001747069820281,0.9975576996803284,0.9958179362174683,1.0041996268900488
20,20,19,-1,psi_plus_raw,crack_strip_mean,27.823861941908746,60.34904861450195,2.1689673683868897,0.4610488910876159
20,20,19,-1,psi_plus_raw,domain_mean,0.551833656170434,2.4170241355895996,4.379986810451266,0.22831118979944395
20,20,19,-1,psi_plus_raw,max,851.7644653320312,5448.279296875,6.3964623069256294,0.15633641722820313
20,20,19,-1,psi_plus_raw,p99,549.5804443359375,5.925235271453857,0.010781379382254708,92.75251009587144
20,20,19,-1,psi_plus_raw,p999,764.4649597168097,3240.147216796875,4.238450926510959,0.23593525496429135
20,20,19,-1,psi_plus_raw,right_band_mean,0.009046445720445113,0.00856930110603571,0.9472561236584829,1.0556806918680137
